type,name,latitude_deg,longitude_deg,iso_country,scheduled_service,iata_code
large_airport,Jinan Yaoqiang International Airport,36.857201,117.216003,CN,yes,TNA
small_airport,Tin City Long Range Radar Station Airport,65.563103,-167.921997,US,yes,TNC
medium_airport,Alberto Delgado Airport,21.7883,-79.9972,CU,yes,TND
medium_airport,New Tanegashima Airport,30.605100631699997,130.990997314,JP,yes,TNE
large_airport,Tangier Ibn Battuta Airport,35.731741,-5.921459,MA,yes,TNG
medium_airport,Tonghua Sanyuanpu Airport,42.048435,125.733963,CN,yes,TNH
medium_airport,Raja Haji Fisabilillah International Airport,0.92397,104.53341,ID,yes,TNJ
small_airport,Tununak Airport,60.569638,-165.246649,US,yes,TNK
small_airport,Teniente Rodolfo Marsh Martin Airport,-62.191026,-58.98669,AQ,yes,TNM
large_airport,Tainan International Airport / Tainan Air Base,22.950399,120.206001,TW,yes,TNN
large_airport,Ivato International Airport,-18.7969,47.478802,MG,yes,TNR
medium_airport,Tioman Airport,2.81818,104.160004,MY,yes,TOD
medium_airport,Tozeur Nefta International Airport,33.939701080322266,8.110560417175293,TN,yes,TOE
large_airport,Tomsk Kamov Airport,56.380299,85.208298,RU,yes,TOF
small_airport,Togiak Airport,59.052799,-160.397003,US,yes,TOG
medium_airport,Eugene F. Kranz Toledo Express Airport,41.5868,-83.8078,US,yes,TOL
large_airport,Tombouktou Airport,16.730499,-3.00758,ML,yes,TOM
large_airport,Tromsø Airport,69.683296,18.9189,NO,yes,TOS
medium_airport,Touho Airport,-20.790127,165.259524,NC,yes,TOU
small_airport,Toledo - Luiz Dalcanale Filho Municipal Airport,-24.6863,-53.697498,BR,yes,TOW
medium_airport,Toyama Kitokito Airport,36.648416,137.187359,JP,yes,TOY
large_airport,Tampa International Airport,27.9755,-82.533203,US,yes,TPA
large_airport,Taiwan Taoyuan International Airport,25.0777,121.233002,TW,yes,TPE
small_airport,Tapini Airport,-8.35666666667,146.989166667,PG,yes,TPI
medium_airport,Taplejung Airport,27.3509,87.69525,NP,yes,TPJ
medium_airport,Cadete FAP Guillermo Del Castillo Paredes Airport,-6.508739948272705,-76.37319946289062,PE,yes,TPP
medium_airport,Amado Nervo National Airport,21.419833,-104.842472,MX,yes,TPQ
medium_airport,Vincenzo Florio Airport Trapani-Birgi,37.9114,12.488,IT,yes,TPS
heliport,Tasiusaq Heliport,73.373055,-56.06028,GL,yes,TQA
heliport,Tiniteqilaaq Heliport,65.892027,-37.783409,GL,yes,TQI
large_airport,Felipe Carrillo Puerto International Airport Tulum,20.172098,-87.660272,MX,yes,TQO
heliport,San Domino Island Heliport,42.117775,15.490655,IT,yes,TQR
medium_airport,Tarama Airport,24.653793,124.675453,JP,yes,TRA
medium_airport,Francisco Sarabia Tinoco International Airport,25.562265,-103.404608,MX,yes,TRC
large_airport,"Trondheim Airport, Værnes",63.457802,10.924,NO,yes,TRD
medium_airport,Tiree Airport,56.499199,-6.86917,GB,yes,TRE
large_airport,"Sandefjord Airport, Torp",59.186699,10.2586,NO,yes,TRF
medium_airport,Tauranga Airport,-37.67190170288086,176.1959991455078,NZ,yes,TRG
medium_airport,Tri-Cities Regional TN/VA Airport,36.475201,-82.407401,US,yes,TRI
